,theolscale,goodevil,endtimes2,cabal,paranormscale,ednumeric,female,black,hispanic,libdum,consdum,demdum,gopdum,polintnum,psc,trustind1,inteff,exteffic,RWA,imprelnum
62,2.5,2,1.5,5,2.5,3,0,0,0,0,1,0,1,4,1.040470149,1,3,1.5,0.5,3
63,2.5,2,2,5,5,3,1,0,0,1,0,1,0,3,-0.192584874,2,4,2.5,0.5,3
64,3,2,1.5,5,3.5,5,1,0,0,1,0,1,0,3,-1.140865939,2,3,3.5,0.5,4
65,2.5,2,1.5,5,3.5,2,1,0,0,1,0,0,0,4,0.515744156,1,3.5,2,0.5,3
66,3,5,2,5,2,2,1,0,0,0,1,0,1,3,0.566472814,1,1,1,0.5,3
67,1.5,5,1.5,4,3.5,5,1,0,0,0,1,0,1,4,1.091198807,2,4.5,1,1,2
68,3,3,2,4,4,5,1,0,0,0,0,0,0,1,-1.10528315,1,1,2,0.5,4
69,2,2,3,4,2.5,6,0,0,0,0,1,0,1,4,0.519820881,1,4,1.5,1,4
70,3,3,1.5,3,2.5,5,0,0,0,0,1,0,1,4,1.009980482,1,2.5,2.5,0.5,4
71,3,2,1,1,2.5,6,0,0,0,0,1,0,1,4,0.678291795,2,4,3,1,3
72,3,4,2,1,4.5,4,0,0,0,0,1,0,1,4,0.81255808,2,3.5,3,0,4
73,1.5,1,1,2,1.5,5,0,0,0,1,0,1,0,4,1.091198807,2,4.5,4.5,0,3
74,3,5,2.5,4,4.5,2,1,0,0,1,0,1,0,3,-0.201107125,1,3,2.5,0.5,3
75,3,2,2.5,4,3.5,2,1,0,0,0,1,0,1,3,0.615785966,2,4,2,0,4
76,3,5,3,5,2,6,1,0,0,0,1,0,1,4,0.519820881,2,4.5,3,1,4
77,3,4,2,2,2.5,2,1,0,0,0,1,0,1,3,-0.443606053,1,2.5,2,1,3
78,2,5,1.5,4,4.5,3,1,0,0,1,0,1,0,3,0.42952171,2,2.5,2.5,0.5,3
79,1,2,1,4,2,5,1,0,0,1,0,1,0,3,-1.861656019,2,2,2,0.5,1
80,3,4,2.5,3,2.5,5,0,0,0,0,1,0,1,2,0.322647382,1,2,2,1,4
81,2,2,1,2,3.5,6,1,0,0,1,0,1,0,4,0.040329039,2,3.5,4,0.5,4
82,2,3,1,4,3.5,6,0,0,0,0,1,0,1,4,0.187022782,1,2.5,1.5,1,4
83,3,3,2.5,4,1.5,3,1,0,0,0,1,0,1,4,-0.579139374,1,2.5,2,1,4
84,3,4,1.5,4,3,3,1,0,0,0,1,0,1,4,-0.191341828,2,3,2,0,4
85,3,1,1.5,3,3,5,0,0,0,0,0,0,1,4,0.485254489,2,5,1,0.5,4
86,2,2,1,3,3,3,0,0,0,0,0,1,0,4,1.040470149,1,4,2.5,0.5,2
87,2,4,1,3,3,5,1,1,0,1,0,1,0,4,-0.26755403,2,4,4,0.5,2
88,3,4,1.5,4,2,3,0,0,0,0,0,1,0,4,1.040470149,2,4,1.5,1,4
89,3,2,2,5,3.5,3,1,0,0,0,1,0,1,4,0.566472814,1,4,1.5,1,4
90,2,5,1.5,4,5,6,0,0,0,0,0,0,0,3,-0.1198888,1,3.5,2.5,1,3
91,3,2,2,4,1,2,0,0,0,0,1,0,1,4,1.040470149,1,4,2,1,3
92,3,2,3,2,4,5,0,0,0,0,1,0,1,4,0.863286739,1,4.5,3,1,4
93,3,3,3,5,4,2,0,0,0,0,1,0,1,3,-1.714962275,1,3,1,0,4
94,3,3,2,3,3.5,3,0,0,0,0,1,0,1,4,1.009980482,1,4,2,1,4
95,2,5,1,1,4.5,5,0,0,0,0,1,0,1,4,0.237751441,2,5,4,1,2
96,2,4,2.5,5,4,5,0,0,0,0,0,1,0,4,-1.068031939,1,4,1,1,2
97,1,3,1.5,4,3,5,0,0,0,1,0,1,0,4,0.81255808,1,4.5,4,0.5,1
98,3,5,2.5,3,1.5,5,0,0,0,0,1,0,1,4,1.091198807,1,4,1.5,0.5,3
99,3,4,2,3,3,6,0,0,0,0,1,0,1,4,1.091198807,1,5,2,0.5,2
100,2,4,1.5,2,1.5,5,0,1,0,0,0,1,0,4,0.61578369,2,4,1.5,1,3
101,3,4,2,3,2.5,3,0,0,0,0,1,0,1,4,1.009980482,2,4,2,1,4
102,3,4,2,5,4.5,2,0,0,0,0,1,0,0,4,0.81255808,1,4,1.5,0.5,4
103,3,2,2,2,4,1,0,0,0,0,0,1,0,4,0.434525831,2,4,1.5,0,3
104,3,4,2.5,4,4.5,6,1,0,0,0,1,1,0,4,0.409841313,1,4.5,2,0.5,4
105,1,4,1,4,5,5,1,0,0,1,0,1,0,4,0.863286739,2,3,2,0,1
106,1.5,3,1,3,2,6,1,0,0,1,0,1,0,4,1.091198807,2,4.5,3,0,4
107,3,NA,2.5,4,4.5,5,1,0,1,0,0,1,0,3,-0.321984964,2,2.5,2,0.5,3
108,1.5,3,1,3,3.5,5,1,0,0,1,0,1,0,4,0.105804458,2,4,2.5,0.5,1
109,3,4,3,4,2.5,2,1,0,0,0,1,0,1,3,0.066375456,2,1.5,1,1,4
110,2,3,2,3,2.5,2,1,0,0,0,0,0,0,1,-1.861656019,1,1,1.5,0,2
111,3,4,2.5,4,4.5,2,1,0,0,0,1,0,0,3,0.702097414,1,3,2,1,3
112,2.5,3,2,5,2.5,4,0,0,0,1,0,1,0,4,1.091198807,1,5,1.5,0.5,3
113,3,2,2.5,2,2.5,5,0,0,0,0,1,0,1,4,0.515744156,1,3,1.5,0.5,4
114,2,3,2,NA,2,5,0,1,0,1,0,1,0,4,0.566472814,1,2,1.5,1,4
115,1,3,1,4,1,6,0,0,0,1,0,1,0,4,1.091198807,2,5,2,0,1
116,2,3,1,3,3,6,0,0,0,0,0,0,0,4,1.091198807,2,3,2,0,1
117,2,2,1,3,2.5,6,0,0,0,0,0,0,0,4,0.42952171,2,4,1.5,0,4
