,theolscale,goodevil,endtimes2,cabal,paranormscale,ednumeric,female,black,hispanic,libdum,consdum,demdum,gopdum,polintnum,psc,trustind1,inteff,exteffic,RWA,imprelnum
267,2,4,1,5,2.5,3,1,0,0,1,0,1,0,3,0.959251824,2,2.5,1.5,0.5,3
268,3,5,1,4,4.5,2,1,0,0,0,1,1,0,3,-0.717310867,1,4.5,1,1,4
269,1,3,1,4,2,4,0,0,0,0,1,1,0,1,-1.190236282,1,4,1,1,1
270,2,3,1.5,4,3,4,0,0,0,0,0,1,0,4,1.091198807,2,4,2,1,2
271,3,3,2,3,4.5,2,1,0,0,0,1,1,0,NA,-1.398020349,1,2,3,0.5,2
272,3,2,2.5,2,1.5,6,1,0,0,0,1,0,1,4,0.824190098,1,4.5,1,0.5,3
273,3,3,2,4,3,2,1,0,0,0,1,0,1,4,0.105804458,1,4.5,1.5,0.5,4
274,1,1,1,4,1,5,0,0,0,1,0,1,0,4,1.040470149,2,5,5,0,1
275,3,2,1.5,2,1,6,0,0,0,0,1,0,1,4,0.863286739,2,4.5,3,1,4
276,3,5,1.5,5,4.5,2,1,0,0,0,1,0,1,3,-1.120027634,2,1.5,1.5,1,4
277,2.5,3,2.5,3,3,2,1,0,0,0,0,0,0,NA,-1.861656019,1,3,3,1,3
278,3,3,2.5,5,4,2,0,0,0,0,1,1,0,4,0.959251824,1,5,3,0.5,4
279,3,5,1.5,5,3.5,2,0,0,0,0,1,0,1,4,0.237751441,1,3,1,0.5,2
280,1,2,1,3,1,3,0,0,0,1,0,1,0,4,-0.456992222,2,4.5,2.5,0,1
281,1.5,4,1,5,3,3,1,0,0,1,0,1,0,4,0.42952171,2,3,1,0.5,2
282,3,2,2,1,3.5,4,1,0,0,0,0,0,0,1,-1.81092736,1,3,1,1,4
283,3,2,1,2,1,5,0,0,0,0,0,1,0,4,1.040470149,2,4.5,4,0.5,4
284,1,2,1,4,2,5,1,0,0,1,0,1,0,4,1.091198807,1,4,2,0,1
285,2,3,1.5,3,1.5,4,1,0,0,0,0,0,0,4,1.040470149,1,2.5,3,0.5,2
286,3,5,2,3,3.5,2,1,0,0,0,0,0,0,1,-1.861656019,1,1.5,2.5,1,1
287,3,5,2.5,5,4.5,6,1,0,0,0,1,0,1,4,0.434525831,1,3,1,0,2
288,2.5,4,1.5,3,2,5,1,0,0,0,0,0,1,3,-0.162694521,2,2.5,3.5,0,4
289,3,2,1,5,2,3,0,0,0,0,1,1,0,3,0.322647382,1,2.5,1.5,0.5,4
290,2,2,1,5,3,3,1,0,0,0,0,0,1,3,0.782752865,1,4,2.5,0,1
291,2,3,2,4,3.5,5,1,0,0,1,0,1,0,4,0.191099508,2,2.5,3,0.5,2
292,3,1,2,5,5,3,0,0,1,1,0,0,0,1,-1.054554491,1,5,3,0.5,2
293,3,4,2,2,4,2,1,0,0,1,0,1,0,4,-1.04603224,1,2,3.5,1,4
294,3,2,1.5,4,2.5,4,0,0,0,0,1,0,1,4,-0.040889286,1,4.5,4.5,1,4
295,1,1,1,2,1,4,1,0,0,1,0,1,0,4,1.009980482,2,4,4,1,1
296,2,4,1.5,4,4.5,5,1,0,0,0,1,0,1,4,1.009980482,2,4.5,2.5,0.5,3
297,2,1,1,5,1,5,1,0,0,1,0,1,0,4,0.434525831,2,2.5,1.5,1,3
298,3,3,2,3,4.5,4,1,1,0,0,0,1,0,4,-0.176422608,1,3,4,1,4
299,1,2,1,4,2.5,6,1,0,0,1,0,1,0,4,0.469092223,2,3.5,3,0.5,1
300,3,2,1.5,2,4.5,2,1,0,0,1,0,0,1,3,-1.00255652,2,3,1,1,3
301,2,3,1,3,2.5,5,0,0,0,0,1,0,1,4,1.040470149,1,5,3.5,1,4
302,2,2,2,2,4.5,3,0,0,0,1,0,1,0,4,0.369050412,2,4,5,0,3
303,2,3,2,5,3,2,0,0,0,1,0,1,0,4,1.091198807,1,5,3.5,1,2
304,3,3,3,3,1,3,0,0,0,0,1,0,1,4,1.091198807,2,4.5,3.5,1,4
305,3,3,2,5,5,2,1,0,0,0,0,0,1,2,-1.861656019,1,1,1,0.5,4
306,2,1,2,2,3.5,3,0,0,0,1,0,1,0,2,0.031809064,2,3,4,0.5,2
307,1,2,1,4,1.5,3,0,0,0,1,0,1,0,1,-0.113526365,2,2,1.5,0.5,1
308,3,2,1.5,4,3.5,3,1,0,0,0,0,1,0,2,-1.518190161,2,1.5,2.5,1,4
309,1,4,1.5,2,3.5,3,0,0,0,0,1,0,1,4,0.515744156,2,4.5,1,0.5,2
310,3,3,3,3,4.5,3,0,1,0,0,1,1,0,3,-0.640378167,1,2.5,2,0.5,4
311,2.5,4,2.5,1,5,4,1,0,0,0,0,0,1,2,-0.861043314,1,2,2,0.5,4
312,3,4,1.5,4,4,2,1,0,0,1,0,1,0,3,0.711748775,2,3,1,0.5,4
313,2,1,2,4,1,3,0,0,0,0,0,0,1,4,0.566472814,2,4,3.5,1,1
314,3,4,1,3,1.5,1,0,0,0,0,1,0,1,4,0.81255808,2,4.5,2.5,1,4
315,2,3,2,5,2,5,0,0,0,1,0,1,0,3,0.086055853,1,3,3,1,3
316,3,3,2,5,2,2,1,0,0,0,1,0,1,4,0.515744156,1,1.5,1.5,1,3
317,2,2,2,4,5,4,1,0,0,1,0,1,0,4,1.091198807,1,3.5,2.5,0,4
318,3,4,2.5,3,4.5,2,1,0,0,0,0,0,1,3,-0.848464685,1,1,2,1,3
319,3,3,2,3,4,3,0,0,0,0,1,0,1,4,0.42952171,2,4,2,0.5,3
320,3,2,1.5,2,1.5,3,0,0,0,0,0,0,1,1,-1.518190161,2,2.5,2.5,1,3
321,1.5,3,1.5,2,2.5,4,0,0,0,0,1,0,1,4,0.556535057,2,4,5,0.5,3
322,2.5,2,2,5,3,3,0,0,0,0,0,0,0,4,-1.861656019,2,2,2,1,4
323,3,2,2.5,2,2.5,5,1,0,0,0,0,0,1,3,-0.156443075,1,2,2.5,1,3
324,1,2,1,4,1.5,2,0,0,0,1,0,1,0,3,1.040470149,1,3.5,2,0,1
325,3,1,3,5,5,3,0,0,0,1,0,0,0,4,0.566472814,2,2.5,5,0.5,4
326,3,3,3,3,1,3,0,0,0,0,1,0,1,4,-0.11488468,1,3,2,0.5,4
327,3,1,2,4,2.5,3,0,0,0,0,1,0,1,4,0.566472814,2,3.5,2,1,4
328,1,1,1,5,1,4,0,1,0,0,0,1,0,4,-1.094954979,1,4,2,1,1
329,3,3,2,4,3.5,3,1,0,0,0,1,0,1,4,1.040470149,2,3,2,0.5,4
330,1.5,3,2,4,2,5,1,0,0,1,0,1,0,4,0.434525831,2,4.5,2,0,2
331,3,2,2.5,4,3.5,6,1,1,0,0,1,1,0,3,-0.166094437,2,3.5,3.5,1,4
332,3,3,1,3,3.5,2,1,0,0,0,1,1,0,3,-1.729709036,1,3,3,1,2
333,1,4,1,3,2,5,1,0,0,1,0,1,0,4,0.434525831,2,4,3,0,2
334,3,3,2.5,4,3.5,2,1,0,0,0,1,0,1,4,0.81255808,2,3.5,3,1,4
335,1.5,2,1,2,1,5,1,0,0,1,0,1,0,2,-1.55377295,2,2,2.5,0.5,2
336,3,3,3,4,1.5,5,0,0,0,0,1,0,0,4,1.040470149,1,5,2,0.5,4
337,2,2,1.5,2,3.5,5,0,0,0,0,0,1,0,4,0.959251824,2,4,2.5,0,2
338,3,3,2,3,3.5,2,1,0,0,1,0,1,0,3,0.287832087,2,3,3,0.5,3
339,3,2,2,5,5,5,1,0,0,0,1,0,1,4,1.040470149,1,3.5,3.5,0.5,4
340,3,3,2,3,4,3,1,1,0,0,0,1,0,3,-1.664233617,1,3,3,0.5,4
341,3,3,1,4,1,3,1,0,0,0,1,0,1,4,1.091198807,2,5,3,1,4
342,2.5,3,3,5,2,2,1,0,0,0,1,0,1,4,0.68848204,2,3.5,2,1,3
343,3,4,2,4,3.5,3,0,0,0,0,1,0,1,4,0.515744156,1,4.5,1,0,3
344,3,3,2,5,3,3,1,0,0,1,0,1,0,4,0.515744156,2,4.5,1.5,0,2
345,3,2,2,5,3,2,0,0,0,0,0,0,0,4,0.566472814,1,3.5,1,1,1
346,1,2,1,2,1.5,6,0,0,0,1,0,1,0,4,0.156533116,2,4.5,3.5,0,1
347,3,4,1.5,2,3,3,0,0,0,0,1,0,1,4,0.863286739,2,3,3,0.5,3
348,1,2,1,1,1.5,5,0,0,0,1,0,1,0,4,1.091198807,2,5,4,0,1
349,1,2,1,4,3,5,0,0,0,0,1,0,1,4,1.091198807,2,3.5,2,0.5,1
350,3,3,1,3,2,2,0,0,0,0,0,0,1,4,0.711748775,2,4,4,1,3
351,2.5,5,1.5,4,1.5,4,0,0,0,0,1,0,1,3,0.630530451,1,4,3,0,3
352,2,4,1,5,2,3,0,0,0,1,0,1,0,4,0.959251824,2,5,1,0,2
353,3,3,1.5,4,4.5,4,1,0,0,0,0,0,1,4,-1.024064825,1,2,2.5,0.5,4
354,3,3,3,3,3,3,0,0,0,0,0,0,1,3,0.554840797,2,3,3.5,1,4
355,2,1,1,5,1,5,0,0,0,1,0,1,0,4,1.091198807,2,4.5,1,0.5,3
356,3,2,1.5,5,3,2,0,0,0,0,1,0,1,3,-0.192584874,2,2.5,1,0.5,2
357,3,3,3,3,2,4,1,0,0,0,1,0,1,4,0.893776405,1,3.5,4,1,4
358,3,4,2,4,2.5,3,1,0,1,0,1,0,1,3,-0.725833118,1,2.5,1.5,0.5,4
359,3,5,3,5,3,2,1,0,0,0,1,0,1,4,1.091198807,1,5,2.5,1,4
360,2,2,1,4,2,4,1,0,0,1,0,1,0,4,0.294287524,2,5,1,1,4
361,3,4,2.5,4,3,2,0,0,0,0,1,0,1,3,1.040470149,2,4,1.5,0,4
362,3,1,1.5,4,1,6,0,0,0,1,0,1,0,4,0.515744156,2,4.5,2,0.5,4
363,1,3,1.5,3,1.5,2,0,0,0,0,1,0,1,4,0.959251824,2,4,2,0.5,2
364,3,3,2,3,3,3,0,0,0,1,0,1,0,4,0.504675012,2,2.5,3,0,4
365,2,5,1,3,1.5,2,0,0,0,1,0,0,0,4,1.091198807,1,3.5,2.5,0,2
366,1,4,1.5,5,2,4,1,0,0,0,0,1,0,3,-0.272674088,1,1.5,1,1,1
367,3,4,3,2,1.5,4,1,0,0,0,1,0,1,4,0.091059973,1,4,4,1,4
368,2,5,2.5,3,4,2,1,0,0,0,1,0,0,4,-0.226763128,2,2.5,2,1,4
369,2,3,2,4,2,2,0,0,0,0,1,0,1,1,-1.861656019,1,2.5,2,1,2
370,3,4,2.5,4,4.5,2,0,0,0,0,1,0,1,3,0.566472814,1,3.5,1,0.5,3
371,1,4,2,4,1.5,2,0,0,0,0,0,1,0,2,-1.861656019,1,2,3,1,1
372,2,3,2,3,3,2,0,0,0,0,0,0,0,NA,-1.861656019,1,3.5,3,0.5,1
373,2.5,4,1.5,4,3,2,0,0,0,0,0,1,0,4,0.091059973,1,3.5,2,1,3
374,2,3,1,3,4.5,3,1,0,0,1,0,1,0,4,0.678291795,2,4,2,0.5,2
375,3,3,3,5,5,2,1,0,0,0,0,0,0,1,-1.63374395,1,1,1,0.5,1
376,3,4,2,4,1,2,0,0,0,0,1,0,1,4,0.81255808,2,3,2,1,3
377,2,1,1,4,2,3,0,0,1,1,0,1,0,4,0.711748775,1,4.5,4.5,1,4
378,2.5,3,1,3,2,4,0,0,0,0,1,0,1,4,0.187022782,2,5,3.5,0.5,4
379,3,2,2,3,4.5,2,0,0,0,0,0,1,0,1,-1.448749007,2,2,3,0.5,4
380,2.5,2,1.5,4,2,2,0,0,0,0,0,1,0,3,-0.040889286,2,3,2,1,3
381,3,5,1.5,4,2.5,5,0,0,0,0,1,0,0,4,1.009980482,2,4.5,1.5,0.5,1
382,2,3,1,5,2,3,0,0,0,1,0,1,0,3,0.469092223,2,2,3,0.5,4
383,2.5,3,2,3,3,3,1,0,0,0,1,0,0,2,-1.032446874,2,2.5,3,1,4
384,3,5,1.5,4,3,2,1,0,0,0,1,0,1,2,-0.469446202,1,3,2,0.5,4
385,3,5,3,4,4.5,3,1,0,0,0,1,0,1,3,-1.199978922,2,4,3,1,4
386,3,2,3,4,1.5,5,1,0,0,0,1,0,1,4,1.091198807,2,4,4,0.5,4
387,3,3,2,3,4.5,4,1,0,0,0,0,0,1,3,-0.227151266,1,2.5,1.5,0.5,3
388,3,4,2,4,4,2,1,0,0,1,0,1,0,3,0.150880983,1,2.5,2,0.5,2
389,3,5,3,5,2,3,1,1,0,0,0,1,0,4,0.232099308,1,2,1,1,4
390,1,4,1,4,3,4,1,0,0,1,0,1,0,4,0.434525831,2,2.5,1,0,1
391,2,2,1.5,4,1,3,0,0,0,0,1,0,1,4,1.009980482,2,3,2.5,0.5,3
392,3,5,3,3,4.5,4,1,0,0,0,1,0,1,3,-0.298043696,2,3.5,1,1,4
393,1.5,1,1,3,3.5,5,0,0,0,1,0,1,0,4,1.040470149,2,3.5,3.5,0,2
394,3,1,2,3,3.5,2,1,0,0,0,1,0,1,4,1.040470149,2,4,3,0.5,4
395,1,1,1,3,1,3,1,0,0,0,0,0,0,4,1.091198807,2,3,2,1,1
396,2,3,2,3,4,2,1,0,0,0,0,0,0,3,-0.489398799,1,2,2,1,2
397,3,3,2,3,2,3,0,0,0,0,1,0,1,4,0.469092223,2,4,3.5,0.5,4
398,2,2,1,3,2.5,5,0,0,0,1,0,1,0,4,0.105804458,2,3,2,0,4
399,3,5,3,4,1,2,1,0,0,0,1,0,1,4,-0.145932941,1,4.5,4,0.5,1
400,3,5,1.5,5,4.5,5,0,0,0,0,1,0,1,4,1.009980482,1,5,1,0,3
401,3,3,1,5,5,3,1,0,0,0,1,1,0,3,-0.604362775,1,2,1,1,3
402,2,2,2,3,3.5,3,1,1,0,0,1,1,0,3,-1.861656019,1,3,3.5,1,4
403,3,3,2,4,4,2,1,0,0,1,0,1,0,2,0.150880983,2,3,3,0.5,4
404,2,5,1,4,2,2,0,0,0,0,1,0,0,3,-0.595301641,1,2.5,2,0.5,3
405,2,3,1.5,4,1.5,2,0,0,0,0,1,0,0,3,0.232099308,1,2,2,0.5,1
406,3,3,1.5,3,3,3,0,1,0,0,0,1,0,4,-0.570617124,1,4,4,1,3
407,2.5,5,2,3,2,2,0,0,0,0,0,1,0,2,-1.583015292,2,3,3,0.5,3
408,3,2,2.5,3,3,2,1,0,1,0,1,0,1,4,1.040470149,1,2.5,4,0.5,3
409,2,5,1.5,5,1,5,0,0,0,0,1,1,0,4,0.237751441,2,5,1.5,0.5,3
410,2,4,1,1,1.5,6,0,0,1,0,1,0,1,4,1.091198807,1,4.5,2,0,3
411,1,1,1,4,3,2,1,0,0,0,0,1,0,1,-0.040889286,1,1.5,3,0.5,1
412,3,3,1,5,2,3,1,0,0,1,0,1,0,4,0.711748775,1,4,1.5,0.5,2
413,3,3,2,5,4.5,3,0,0,0,0,1,0,0,4,-1.398020349,1,3.5,1,1,4
414,3,3,2,3,4.5,3,0,0,0,0,0,0,0,2,-0.851751888,1,3.5,3.5,1,4
415,3,4,1,5,4,4,1,0,0,0,1,1,0,4,-0.020050981,1,1.5,1,0.5,3
416,3,3,1,2,1.5,6,1,0,0,1,0,1,0,4,-0.004905112,2,4,1.5,0.5,3
417,3,1,2,4,3,6,1,0,0,1,0,1,0,4,-0.145932941,2,5,1,0,4
418,3,3,1.5,4,1.5,6,0,0,0,1,0,1,0,4,1.040470149,2,3.5,2,0,3
419,2,2,1.5,4,2.5,5,0,0,0,0,1,0,1,4,0.81255808,2,5,4,0.5,2
420,2.5,2,1.5,5,5,5,1,0,0,0,1,0,1,4,0.287832087,2,3.5,2,1,2
421,3,4,1.5,2,3.5,5,0,0,0,0,1,0,1,4,1.009980482,2,3.5,2,1,4
422,2.5,4,2,4,3.5,5,1,0,0,1,0,1,0,4,0.893776405,2,3.5,3,1,4
423,1.5,2,1,2,1,5,0,0,0,1,0,1,0,4,0.81255808,2,4.5,2,0,3
424,3,4,2.5,4,3,2,0,0,0,0,1,0,1,4,0.959251824,1,4,2,0.5,3
425,3,3,1,5,3,4,0,0,0,0,0,0,0,3,-0.297248255,2,3,1,1,3
426,2,2,1.5,2,5,3,1,0,0,1,0,1,0,4,0.434525831,2,3,4,0,4
427,3,3,2,2,4.5,2,0,0,0,0,1,0,0,4,1.091198807,2,2.5,1.5,0,3
428,3,3,1.5,2,3.5,2,0,0,1,0,0,1,0,2,-1.861656019,1,2,2,1,2
429,3,4,3,5,2,2,1,0,0,0,0,0,0,4,0.025584554,1,2,3.5,1,4
430,2.5,2,1.5,4,2.5,6,0,0,0,0,1,0,1,2,0.067679302,1,4.5,4,1,2
431,1,4,1.5,5,2.5,2,1,0,0,1,0,1,0,4,-0.570617124,1,2.5,1.5,1,1
432,1.5,3,1,4,5,5,1,0,0,1,0,1,0,3,-0.616139946,1,3.5,2.5,0,1
433,2,3,2,3,3,2,1,0,0,0,0,0,1,4,-0.37384501,1,3.5,3,0.5,2
434,3,2,2,4,4,3,1,0,0,0,0,1,0,4,1.009980482,2,3,1.5,1,4
435,3,3,2,5,4.5,3,1,0,0,0,0,0,0,4,-0.166094437,1,4.5,3.5,1,4
436,3,4,1.5,5,3,2,0,0,0,0,0,0,0,3,0.207861087,1,3,1,0.5,4
437,2,3,2,3,2,5,1,1,0,0,1,1,0,3,-0.227151266,1,3,3,1,4
438,2,3,1.5,3,1.5,4,0,0,1,1,0,1,0,4,1.040470149,1,4.5,2,0.5,2
439,3,4,3,3,4.5,2,1,0,0,0,1,0,1,4,-0.145932941,1,3,2.5,1,2
440,1,3,1,1,3.5,3,0,0,0,0,1,0,1,4,1.091198807,2,4,4,0,1
441,2,2,2,2,2,2,0,0,0,0,1,0,1,4,0.752263199,2,4,2,0.5,2
442,1,3,1,5,2,5,0,0,1,0,0,1,0,4,0.434525831,2,4.5,2.5,0.5,4
443,3,2,1.5,5,1.5,2,1,0,0,1,0,1,0,3,0.773461439,2,2,1,1,4
444,1,1,1,2,4.5,2,1,0,0,0,1,0,1,3,0.091059973,1,3,2,0,1
445,2,1,1.5,4,3.5,2,1,0,0,0,0,1,0,2,-1.064744736,1,2.5,1.5,0.5,3
446,3,4,1,3,2,4,0,0,0,0,0,1,0,4,0.752263199,2,3.5,2,1,3
447,1,4,1,5,2.5,5,1,0,0,1,0,1,0,4,1.009980482,2,4.5,1.5,0,1
448,3,1,2,2,5,1,0,0,0,0,0,0,0,NA,-1.861656019,1,4,1,0,2
449,3,4,2,5,3,2,1,0,0,1,0,0,1,4,-1.583015292,1,2.5,2,0.5,3
450,3,4,3,5,4.5,2,1,0,0,0,0,1,0,4,-0.574378198,1,2,1,1,4
451,3,2,2,3,2,2,0,0,0,0,0,1,0,4,0.959251824,1,3.5,2.5,1,4
452,3,4,3,4,4,3,0,0,0,0,1,0,1,4,0.534565365,1,4.5,2.5,0.5,4
453,2,5,2,4,2,2,1,0,0,1,0,1,0,4,0.030677677,1,3,2.5,0.5,4
454,3,4,1,5,3,2,0,0,0,0,0,0,1,4,0.73258708,1,4,2.5,0.5,3
455,3,4,2,2,1.5,2,1,0,0,1,0,1,0,1,-0.201107125,2,2,2.5,1,3
456,3,3,2.5,4,1.5,5,1,0,0,0,1,0,1,2,-0.323116351,2,3.5,3,1,4
457,2.5,4,2,5,3,5,1,0,0,1,0,1,0,4,1.091198807,2,4,1,0,3
458,3,3,2,5,3,2,0,0,0,0,1,0,1,4,0.566472814,1,3.5,2,0.5,3
459,2.5,3,1.5,2,3,2,1,0,0,0,0,1,0,2,-0.96155672,1,2,3,0.5,3
460,1,4,1,5,1.5,2,0,0,0,0,0,1,0,4,1.091198807,2,4,1,0,1
461,1,3,1,2,2,5,0,0,1,1,0,1,0,3,1.091198807,1,4,4,1,1
462,3,3,3,3,1,2,1,1,0,0,0,1,0,4,0.015256384,1,4,3,1,4
463,3,3,3,3,2.5,6,0,0,0,0,1,0,1,4,0.460569972,2,4,2.5,1,4
464,3,5,2.5,4,4.5,2,1,0,0,1,0,0,1,3,0.50949271,2,2,2.5,1,2
465,3,2,3,3,2,2,1,0,0,0,1,0,1,3,-0.717310867,2,1.5,4.5,1,4
466,3,3,2.5,1,1.5,2,1,1,0,0,0,1,0,3,0.504675012,2,2,5,1,4
467,1,4,1,3,1,5,0,1,0,0,1,1,0,3,0.04585704,2,3,3,1,4
468,3,4,2.5,4,3,2,1,0,0,0,1,0,1,4,0.207861087,2,2.5,1.5,1,3
469,3,5,3,5,2,2,1,0,0,0,1,1,0,3,-1.861656019,1,2.5,1.5,0.5,4
470,2,2,1,3,3,2,0,0,0,1,0,1,0,3,1.091198807,1,4,3,0,2
471,3,1,2.5,4,3,2,1,0,0,0,0,1,0,3,-0.013595544,1,2.5,1,1,3
472,3,4,2.5,3,2.5,2,0,1,0,1,0,1,0,4,-0.570617124,1,3,3,1,4
473,3,3,3,4,4.5,2,1,0,0,0,1,0,1,3,0.287064593,1,3,1,1,4
474,3,3,2,4,2.5,2,1,0,0,0,0,0,1,2,-0.892115566,1,3.5,2.5,1,4
475,3,2,1.5,2,4.5,2,1,0,0,0,1,0,1,3,-1.448749007,1,2.5,3,0.5,2
476,3,4,2.5,5,4.5,5,1,0,0,0,0,0,0,4,0.824190098,2,4,1,0,3
477,3,1,2,4,4.5,2,1,0,0,1,0,1,0,3,-0.570228986,1,2.5,2.5,1,4
478,1,3,1,5,1.5,6,1,0,0,1,0,1,0,3,0.207861087,2,4,3,0,4
479,2,3,1,2,1.5,6,1,0,0,0,0,1,0,NA,-1.861656019,1,2,2,1,2
480,3,3,2,4,3,3,1,0,0,0,1,1,0,2,-0.807590326,2,3,3,1,4
481,3,1,2,2,4.5,5,1,0,0,0,0,0,0,3,0.177371421,2,4,1.5,0.5,1
482,2,3,1,5,4,2,0,0,0,0,0,0,0,4,-0.023923715,1,2.5,1.5,0.5,3
483,1,1,1,4,1.5,6,0,0,0,1,0,1,0,3,-0.372806584,1,3,2,0,2
484,1.5,2,1.5,3,1.5,3,0,0,0,0,1,0,1,4,0.711748775,2,4,1.5,1,4
485,3,4,2,4,1,5,1,0,0,0,1,0,1,4,0.863286739,1,4.5,3.5,0.5,4
486,2.5,1,1,1,2.5,6,1,0,0,1,0,1,0,4,0.782752865,2,5,4,0.5,4
487,2,2,1,2,2,6,1,0,0,1,0,1,0,4,0.566472814,2,4.5,4.5,0.5,3
488,3,3,2,3,4.5,5,1,0,0,0,1,0,1,4,-0.230438469,2,4.5,2.5,0,3
489,1,2,1,4,2.5,2,1,0,0,0,0,0,0,3,0.833481523,1,1.5,1,0,1
490,3,2,2,4,1.5,3,0,0,0,0,1,0,1,4,0.944505063,2,3,4,1,4
491,1.5,3,1.5,3,3.5,6,1,0,0,0,0,0,1,4,0.677496354,2,3,2,1,3
492,3,5,3,2,2.5,2,0,0,0,0,1,0,1,4,0.677496354,1,3.5,2.5,1,4
493,3,2,2.5,5,3.5,3,0,0,0,0,1,0,1,3,0.515744156,2,4,2.5,0.5,4
494,1,1,1,4,1,6,0,0,0,1,0,1,0,4,1.040470149,1,5,1,0,1
495,3,3,2.5,2,4,3,1,1,0,1,0,1,0,4,0.307337748,2,3,2,0,3
496,3,3,2.5,4,2.5,3,0,0,0,0,1,1,0,4,0.944505063,1,3.5,1.5,0.5,4
497,2,2,1,4,2.5,5,1,0,0,1,0,1,0,4,-0.31346499,2,4,3,0.5,2
498,2.5,5,1.5,5,3.5,2,0,0,0,1,0,0,0,3,0.273769109,2,4,1,0.5,3
499,2.5,2,2,4,2,5,0,0,0,0,1,0,1,4,1.009980482,1,3,2,0.5,4
500,2,2,2,4,3,3,0,0,0,0,1,0,1,3,0.959251824,2,4,2,0.5,3
501,2,3,2,4,3,1,1,0,0,0,0,1,0,2,-1.861656019,1,2.5,2,0.5,2
502,1.5,2,1,4,3,3,0,0,0,1,0,1,0,4,0.692243115,2,5,2.5,0,4
503,3,3,1.5,5,3,2,0,0,0,0,1,0,1,4,1.040470149,2,4,1,1,2
504,2,2,1.5,3,3,3,0,0,0,1,0,1,0,4,0.692243115,2,4,2,0.5,2
505,3,4,2,4,4,5,1,0,0,1,0,1,0,3,0.177371421,1,2.5,2,1,3
506,3,4,1,1,2.5,5,0,0,0,0,1,0,1,1,1.009980482,2,1.5,4,1,3
507,1,5,3,5,3,2,0,1,0,1,0,1,0,3,-1.81092736,2,4.5,3,0.5,1
508,3,3,2,5,3.5,3,0,0,0,0,0,0,0,4,1.091198807,1,3,1.5,0.5,4
509,3,4,1.5,1,2.5,3,0,0,0,0,1,0,1,3,1.091198807,1,4.5,3.5,0.5,3
510,2.5,3,2,5,3,3,1,1,0,0,1,1,0,4,-0.140724829,2,3,3,0.5,3
511,2,3,2,3,3,3,0,0,0,0,0,0,0,2,-1.714962275,1,3,3,0.5,3
512,1,1,1,1,2.5,6,0,0,0,1,0,1,0,4,0.752263199,1,5,2,0,3
513,3,1,3,3,1,6,0,0,0,0,1,0,1,4,1.040470149,2,4.5,3,0.5,4
514,3,1,1,5,3,3,0,1,0,0,0,1,0,4,0.201609642,2,5,1.5,0.5,4
515,2.5,4,1.5,4,2,3,0,0,0,0,0,1,0,4,0.959251824,2,4,3.5,1,3
516,3,3,2,2,1,6,0,0,0,0,1,0,1,4,0.287832087,1,4.5,4.5,1,4
517,2,2,1,2,1.5,5,0,0,0,0,1,0,1,4,0.566472814,1,4.5,2.5,0.5,3
518,1,2,1,5,1,5,1,0,0,1,0,1,0,4,1.040470149,1,4,1,0,1
519,3,4,3,2,1,6,0,0,0,0,1,0,1,4,0.752263199,2,4.5,3,1,4
520,3,5,2,5,3,3,0,1,0,0,1,0,0,4,-1.325298008,1,5,1,1,4
521,3,4,2,5,4,2,1,0,0,0,1,0,1,3,-0.529828498,2,3,2.5,0.5,4
522,3,4,2,5,3,2,1,0,0,0,1,0,0,3,-1.714962275,2,2,1,1,2
523,2.5,5,2.5,4,4.5,3,1,0,0,0,0,0,0,3,-1.861656019,1,2,1,1,3
524,3,2,1,3,1.5,3,1,0,0,0,1,0,1,3,0.485254489,2,4,2,1,4
525,3,4,1,4,4,3,1,0,0,0,1,0,1,3,-1.064744736,2,1,1,0.5,4
526,3,5,1,4,5,6,1,0,1,0,0,1,0,4,1.040470149,1,5,1.5,0.5,4
527,3,2,1,2,3,5,1,0,0,0,1,0,1,1,-1.861656019,1,1.5,3,0.5,3
528,1,2,1,4,2.5,6,1,0,0,1,0,1,0,3,-0.797262155,2,4,2,0,4
529,1.5,4,1,3,2,6,0,0,0,1,0,1,0,4,1.091198807,2,3.5,3,1,4
530,3,2,1,2,4.5,4,0,0,0,0,0,0,1,3,1.040470149,2,4,2,0.5,2
531,3,2,1,5,1.5,6,0,0,0,0,1,0,0,4,0.409841313,2,4.5,1.5,0.5,4
532,3,2,1,2,4.5,6,1,0,0,0,1,0,1,1,0.42952171,1,3.5,3,1,4
533,3,3,1,2,1,6,0,0,0,1,0,1,0,4,1.091198807,2,4.5,3.5,0,4
534,1.5,2,1.5,4,2,6,1,0,0,1,0,1,0,4,-0.474654314,1,3.5,2.5,0.5,3
535,2,2,1,3,3.5,2,1,0,0,1,0,1,0,3,-1.143833253,1,2,1,0,2
536,3,2,2.5,5,4.5,3,0,0,0,0,1,1,0,3,-0.585363884,1,4,1,0,3
537,2,4,2,5,3,4,1,0,1,0,1,1,0,4,-1.472554626,2,2.5,3,1,3
538,1,1,1.5,4,1.5,5,0,0,0,0,0,0,1,4,1.040470149,2,4,1,0,1
539,1,2,1,2,2.5,5,0,0,0,1,0,1,0,4,1.040470149,2,4.5,4,0.5,3
540,3,3,1.5,4,3.5,6,1,0,0,0,0,0,1,3,0.207861087,1,3,2,0.5,3
541,3,4,2.5,3,5,2,1,0,0,0,0,1,0,1,-1.55377295,2,1,1,1,3
